country,category,total,n_cities,top1_city,top1_count,top1_share_pct,top3_share_pct,classification
CA,abogado,36,1,Laval,36,100.0,100.0,A_BIS_country_contamination
CA,arquitecto,1491,14,Montréal,994,66.7,89.8,TYPE_A
CA,carpinteria,7668,84,Toronto,1535,20.0,38.4,OK
CA,cerrajero,1,1,Laval,1,100.0,100.0,A_BIS_country_contamination
CA,dentista,1019,11,Toronto,422,41.4,68.9,TYPE_A
CA,electricidad,26009,39,Saskatoon,17104,65.8,85.6,TYPE_A
CA,enfermeria,0,0,,,,,TYPE_B
CA,extranjeria,4719,20,Halifax,1651,35.0,70.6,TYPE_C
CA,farmacia,3,1,Laval,3,100.0,100.0,A_BIS_country_contamination
CA,fiscal,1891,21,Montréal,116,6.1,18.0,TYPE_C
CA,fisioterapia,282,2,Winnipeg,262,92.9,100.0,TYPE_A
CA,fontaneria,1267,21,London,90,7.1,20.0,TYPE_C
CA,hvac,28419,9,Saskatoon,24242,85.3,96.7,TYPE_A
CA,ingenieria,71516,2,Calgary,58490,81.8,100.0,TYPE_A
CA,itv,6,1,Laval,6,100.0,100.0,A_BIS_country_contamination
CA,mecanica,7026,32,Calgary,3232,46.0,68.5,TYPE_A
CA,medicina,14051,36,Halifax,9885,70.4,86.2,TYPE_A
CA,notario,0,0,,,,,TYPE_B
CA,psicologia,3847,21,Calgary,1255,32.6,51.7,TYPE_C
CA,veterinario,1818,1,Saskatoon,1818,100.0,100.0,TYPE_A
ES,abogado,0,0,,,,,TYPE_B
ES,arquitecto,111,1,Guadalajara,111,100.0,100.0,A_BIS_country_contamination
ES,carpinteria,4855,104,Madrid,683,14.1,20.0,OK
ES,cerrajero,0,0,,,,,TYPE_B
ES,dentista,42044,3,Vitoria-Gasteiz,40356,96.0,100.0,TYPE_A
ES,electricidad,7916,111,Barcelona,1217,15.4,34.9,OK
ES,enfermeria,0,0,,,,,TYPE_B
ES,extranjeria,3804,112,Guadalajara,584,15.4,38.9,OK_with_A_BIS_pollution
ES,farmacia,0,0,,,,,TYPE_B
ES,fiscal,7428,97,Madrid,1100,14.8,42.5,OK
ES,fisioterapia,2,1,Guadalajara,2,100.0,100.0,A_BIS_country_contamination
ES,fontaneria,6010,110,Barcelona,974,16.2,36.4,OK
ES,hvac,11,1,Guadalajara,11,100.0,100.0,A_BIS_country_contamination
ES,ingenieria,288,1,Guadalajara,288,100.0,100.0,A_BIS_country_contamination
ES,itv,915,133,Madrid,168,18.4,24.2,OK
ES,mecanica,28466,164,Madrid,4399,15.5,28.0,OK
ES,medicina,76269,158,Madrid,42485,55.7,72.9,TYPE_A
ES,notario,647,112,Guadalajara,231,35.7,56.6,A_BIS_country_contamination
ES,psicologia,7475,79,Barcelona,1900,25.4,43.5,OK
ES,veterinario,14307,27,Madrid,2511,17.6,32.6,TYPE_C
FR,abogado,45446,255,Paris,20559,45.2,54.3,TYPE_A
FR,arquitecto,22003,249,Paris,9354,42.5,61.9,TYPE_A
FR,carpinteria,673,132,Paris,70,10.4,25.0,OK
FR,cerrajero,5170,247,Paris,2393,46.3,52.5,TYPE_A
FR,dentista,66531,292,Marseille,11678,17.6,36.3,OK
FR,electricidad,10392,168,Paris,4778,46.0,68.9,TYPE_A
FR,enfermeria,729,111,Paris,133,18.2,27.7,OK
FR,extranjeria,14018,177,Paris,3664,26.1,59.5,OK
FR,farmacia,2357,238,Paris,371,15.7,25.7,OK
FR,fiscal,13674,207,Paris,3074,22.5,45.7,OK
FR,fisioterapia,28517,291,Paris,3922,13.8,23.9,OK
FR,fontaneria,10109,156,Paris,3781,37.4,74.1,OK
FR,hvac,1241,182,Paris,151,12.2,20.7,OK
FR,ingenieria,10000,209,Paris,3019,30.2,64.7,OK
FR,itv,3436,274,Paris,376,10.9,19.7,OK
FR,mecanica,4817,292,Paris,882,18.3,25.9,OK
FR,medicina,143177,292,Paris,26457,18.5,31.3,OK
FR,notario,0,0,,,,,TYPE_B
FR,psicologia,10197,282,Paris,2365,23.2,31.7,OK
FR,veterinario,2022,67,Marseille,410,20.3,45.5,OK
MX,abogado,0,0,,,,,TYPE_B
MX,arquitecto,3722,232,Ciudad de México,337,9.1,18.5,OK
MX,carpinteria,337,93,Tlalnepantla de Baz,23,6.8,17.2,OK
MX,cerrajero,8,6,Ciudad de México,2,25.0,62.5,TYPE_B
MX,dentista,4404,31,Tijuana,1474,33.5,69.1,TYPE_C
MX,electricidad,1818,190,Monterrey,87,4.8,13.3,OK
MX,enfermeria,0,0,,,,,TYPE_B
MX,extranjeria,20630,281,Ciudad de México,1856,9.0,14.9,OK
MX,farmacia,0,0,,,,,TYPE_B
MX,fiscal,43603,278,Ciudad de México,28617,65.6,69.2,TYPE_A
MX,fisioterapia,403,17,Tijuana,102,25.3,65.0,TYPE_C
MX,fontaneria,4457,168,Ciudad de México,3307,74.2,76.9,TYPE_A
MX,hvac,403,24,Ciudad de México,337,83.6,89.6,TYPE_A
MX,ingenieria,2680,74,Puebla,497,18.5,33.9,OK
MX,itv,10,5,Irapuato,4,40.0,80.0,TYPE_B
MX,mecanica,626,46,Ciudad de México,101,16.1,34.5,OK
MX,medicina,20203,85,Ciudad de México,4027,19.9,37.1,OK
MX,notario,4383,239,Ciudad de México,604,13.8,21.0,OK
MX,psicologia,754,15,Tijuana,240,31.8,70.0,TYPE_C
MX,veterinario,3566,42,Ciudad de México,280,7.9,21.5,TYPE_C
US,abogado,0,0,,,,,TYPE_B
US,arquitecto,0,0,,,,,TYPE_B
US,carpinteria,2594,17,New York,553,21.3,47.6,TYPE_C
US,cerrajero,0,0,,,,,TYPE_B
US,dentista,335,166,Los Angeles,12,3.6,10.1,OK_low_density
US,electricidad,12275,143,Los Angeles,955,7.8,17.4,OK
US,enfermeria,740,235,Las Vegas,25,3.4,9.5,OK_low_density
US,extranjeria,2106,16,Los Angeles,530,25.2,54.2,TYPE_C
US,farmacia,455,194,Houston,14,3.1,8.1,OK_low_density
US,fiscal,2492,16,New York,530,21.3,46.7,TYPE_C
US,fisioterapia,0,0,,,,,TYPE_B
US,fontaneria,1743,17,New York,511,29.3,45.1,TYPE_C
US,hvac,84,1,Richmond,84,100.0,100.0,A_BIS_country_contamination
US,ingenieria,0,0,,,,,TYPE_B
US,itv,4,2,El Paso,2,50.0,100.0,A_BIS_country_contamination
US,mecanica,2407,70,New York,537,22.3,35.8,OK
US,medicina,241322,499,Los Angeles,10561,4.4,10.4,OK
US,notario,1,1,Laredo,1,100.0,100.0,A_BIS_country_contamination
US,psicologia,6069,397,Los Angeles,650,10.7,23.8,OK
US,veterinario,75,62,Sacramento,4,5.3,13.3,OK_low_density
