country,category,source,total,n_cities,top1_city,top1_share_pct
CA,abogado,cnb-avocats,36,1,Laval,100.0
CA,arquitecto,oaq,1491,14,Montréal,66.7
CA,carpinteria,hcra,5280,76,Toronto,27.7
CA,carpinteria,google_places,1853,20,Vaughan,7.1
CA,carpinteria,tsask,482,1,Saskatoon,100.0
CA,carpinteria,tsbc,52,5,Vancouver,65.4
CA,carpinteria,ademe-rge,1,1,Laval,100.0
CA,cerrajero,sirene-insee,1,1,Laval,100.0
CA,dentista,rcdso,1000,10,Toronto,42.2
CA,dentista,rpps-fr,13,1,Laval,100.0
CA,dentista,annuaire-sante-ans,6,1,Laval,100.0
CA,electricidad,tsask,17437,2,Saskatoon,97.8
CA,electricidad,tsbc,5944,6,Vancouver,73.2
CA,electricidad,ecra,1585,20,Toronto,25.6
CA,electricidad,google_places,1038,20,Vaughan,6.8
CA,electricidad,texas-tdlr,3,1,Stephenville,100.0
CA,electricidad,ademe-rge,2,1,Laval,100.0
CA,extranjeria,google_places,1649,20,Vaughan,6.2
CA,extranjeria,lsnb-bar,1566,1,Halifax,100.0
CA,extranjeria,lss-saskatchewan,1504,1,Saskatoon,100.0
CA,farmacia,annuaire-sante-ans,3,1,Laval,100.0
CA,fiscal,google_places,1889,20,Montréal,6.1
CA,fiscal,sirene-insee,2,1,Laval,100.0
CA,fisioterapia,cpm-physio,262,1,Winnipeg,100.0
CA,fisioterapia,rpps-fr,18,1,Laval,100.0
CA,fisioterapia,annuaire-sante-ans,2,1,Laval,100.0
CA,fontaneria,google_places,1266,20,London,7.1
CA,fontaneria,ademe-rge,1,1,Laval,100.0
CA,hvac,tsask,24569,2,Saskatoon,98.7
CA,hvac,tsbc,3848,6,Vancouver,73.5
CA,hvac,ademe-rge,2,1,Laval,100.0
CA,ingenieria,apega,71516,2,Calgary,81.8
CA,itv,prix-controle-technique,6,1,Laval,100.0
CA,mecanica,amvic-dealers,4974,10,Calgary,63.0
CA,mecanica,google_places,1864,20,Montréal,7.1
CA,mecanica,tsbc,177,6,Vancouver,88.1
CA,mecanica,auto-ecoles-fr,11,1,Laval,100.0
CA,medicina,cpsns-ns-physicians,6728,1,Halifax,100.0
CA,medicina,cpsnl,2227,1,Halifax,100.0
CA,medicina,google_places,2031,20,London,6.8
CA,medicina,scpp-sk-pharmacists,1989,1,Saskatoon,100.0
CA,medicina,cpspei,830,1,Halifax,100.0
CA,medicina,ca-dca-open-data,146,29,Vancouver,28.8
CA,medicina,rpps-fr,46,1,Laval,100.0
CA,medicina,annuaire-sante-ans,24,1,Laval,100.0
CA,medicina,cnop-pharmaciens,16,1,Laval,100.0
CA,medicina,finess,14,1,Laval,100.0
CA,psicologia,google_places,2230,20,London,6.3
CA,psicologia,cap-psychologists,1602,2,Calgary,70.8
CA,psicologia,annuaire-sante-ans,15,1,Laval,100.0
CA,veterinario,svma-sk-vets,1818,1,Saskatoon,100.0
ES,arquitecto,denue-mx,101,1,Guadalajara,100.0
ES,arquitecto,siem,10,1,Guadalajara,100.0
ES,carpinteria,google_places,4353,42,Madrid,14.8
ES,carpinteria,osm,240,70,Madrid,12.9
ES,carpinteria,ccaa_registry,221,23,Castellón de la Plana,18.1
ES,carpinteria,borme,29,16,Madrid,20.7
ES,carpinteria,profeco-sancionados,8,1,Guadalajara,100.0
ES,carpinteria,denue-mx,4,1,Guadalajara,100.0
ES,dentista,guiadentistas-es,41996,2,Vitoria-Gasteiz,96.1
ES,dentista,denue-mx,27,1,Guadalajara,100.0
ES,dentista,siem,21,1,Guadalajara,100.0
ES,electricidad,ccaa_registry,4297,59,Barcelona,28.0
ES,electricidad,google_places,3316,42,Madrid,15.1
ES,electricidad,osm,221,55,Zaragoza,13.1
ES,electricidad,denue-mx,50,1,Guadalajara,100.0
ES,electricidad,borme,23,15,Madrid,17.4
ES,electricidad,profeco-sancionados,7,1,Guadalajara,100.0
ES,electricidad,siem,2,1,Guadalajara,100.0
ES,extranjeria,google_places,2301,44,Madrid,16.7
ES,extranjeria,osm,919,97,Barcelona,20.9
ES,extranjeria,denue-mx,575,1,Guadalajara,100.0
ES,extranjeria,siem,7,1,Guadalajara,100.0
ES,extranjeria,manual,2,2,Barcelona,50.0
ES,fiscal,google_places,5874,44,Madrid,18.0
ES,fiscal,condusef-sipres,582,1,Guadalajara,100.0
ES,fiscal,osm,437,75,Motril,8.0
ES,fiscal,denue-mx,396,1,Guadalajara,100.0
ES,fiscal,profeco-sancionados,81,1,Guadalajara,100.0
ES,fiscal,siem,37,1,Guadalajara,100.0
ES,fiscal,borme,17,12,Madrid,23.5
ES,fiscal,manual,4,2,Barcelona,50.0
ES,fisioterapia,denue-mx,2,1,Guadalajara,100.0
ES,fontaneria,ccaa_registry,3601,52,Barcelona,26.9
ES,fontaneria,google_places,2150,42,Madrid,12.8
ES,fontaneria,osm,212,56,Madrid,14.2
ES,fontaneria,borme,29,18,Madrid,13.8
ES,fontaneria,denue-mx,18,1,Guadalajara,100.0
ES,hvac,siem,11,1,Guadalajara,100.0
ES,ingenieria,siem,200,1,Guadalajara,100.0
ES,ingenieria,reniecyt-mx,88,1,Guadalajara,100.0
ES,itv,google_places,407,41,Madrid,31.2
ES,itv,dgt-itv-es,193,107,Madrid,7.3
ES,itv,ccaa_registry,163,88,Madrid,9.2
ES,itv,osm,151,85,Madrid,7.9
ES,itv,siem,1,1,Guadalajara,100.0
ES,mecanica,ccaa_registry,17662,80,Madrid,17.7
ES,mecanica,google_places,4932,42,Madrid,18.2
ES,mecanica,osm,3452,140,Madrid,10.7
ES,mecanica,rasic-talleres-cat,2373,22,Barcelona,38.1
ES,mecanica,profeco-sancionados,23,1,Guadalajara,100.0
ES,mecanica,siem,12,1,Guadalajara,100.0
ES,mecanica,borme,9,9,Cartagena,11.1
ES,mecanica,amda-distribuidores,3,1,Guadalajara,100.0
ES,medicina,com_madrid,40034,1,Madrid,100.0
ES,medicina,datos-gob-es,11148,13,León,71.0
ES,medicina,cgcoo-opticos,8000,21,Barcelona,30.1
ES,medicina,com_gipuzkoa,4958,1,San Sebastián,100.0
ES,medicina,google_places,4923,42,Madrid,19.3
ES,medicina,osm,3310,145,Madrid,14.6
ES,medicina,cofepris-farmacias,2458,1,Guadalajara,100.0
ES,medicina,doctoralia,716,11,Madrid,63.0
ES,medicina,wikidata,295,37,Madrid,16.3
ES,medicina,ca-dca-open-data,187,5,Valencia,90.4
ES,medicina,siem,167,1,Guadalajara,100.0
ES,medicina,denue-mx,68,1,Guadalajara,100.0
ES,medicina,borme,4,3,Burgos,50.0
ES,medicina,profeco-sancionados,1,1,Guadalajara,100.0
ES,notario,cgn-notariado,416,111,Barcelona,18.8
ES,notario,denue-mx,144,1,Guadalajara,100.0
ES,notario,padron-notarios-fed-mx,86,1,Guadalajara,100.0
ES,notario,siem,1,1,Guadalajara,100.0
ES,psicologia,google_places,5512,44,Madrid,17.1
ES,psicologia,colegio,1330,1,Barcelona,100.0
ES,psicologia,doctoralia,429,12,Madrid,47.3
ES,psicologia,osm,199,58,Madrid,17.6
