country,city_slug,category_key,n
CA,100-mile-house,ingenieria,1
CA,a-sattahip,ingenieria,1
CA,abbey,hvac,2
CA,abbey,electricidad,2
CA,abbotsford,electricidad,492
CA,abbotsford,hvac,116
CA,abbotsford,ingenieria,47
CA,abbotsford,arquitecto,9
CA,abbotsford,carpinteria,3
CA,abbotsford,mecanica,3
CA,abbotsford,medicina,2
CA,aberdeen,hvac,4
CA,aberdeen,ingenieria,4
CA,aberdeen,electricidad,2
CA,aberdeenshire,ingenieria,1
CA,abernethy,electricidad,4
CA,abilene,ingenieria,1
CA,abqaiq,ingenieria,7
CA,abqaiq-eastern-province,ingenieria,2
CA,abu-dhabi,ingenieria,17
CA,accra,ingenieria,1
CA,acheson,ingenieria,10
CA,acme,ingenieria,2
CA,acton,ingenieria,2
CA,acworth,ingenieria,1
CA,addison,ingenieria,1
CA,adelaide,ingenieria,2
CA,adliya,ingenieria,1
CA,admiral,electricidad,4
CA,admiral,hvac,4
CA,agassiz,ingenieria,1
CA,agoura-hills,ingenieria,1
CA,ahmadi,ingenieria,5
CA,ahmdai,ingenieria,1
CA,ahmedabad,ingenieria,1
CA,aidrie,ingenieria,1
CA,aiken,ingenieria,1
CA,ain-benain,ingenieria,1
CA,air-ronge,electricidad,4
CA,air-ronge,hvac,1
CA,airdre,ingenieria,1
CA,airdrie,ingenieria,671
CA,airdrie,mecanica,100
CA,airdrie,electricidad,8
CA,airdrie,hvac,5
CA,aix-en-provence,ingenieria,1
CA,ajax,electricidad,31
CA,ajax,carpinteria,16
CA,ajax,ingenieria,15
CA,akron,ingenieria,1
CA,al-ain,ingenieria,2
CA,al-khobar,ingenieria,4
CA,al-khobar-eastern-province,ingenieria,2
CA,al-olaya-riyadh,ingenieria,1
CA,al-rayyan,ingenieria,1
CA,al-riyad,ingenieria,2
CA,al-salimiya,ingenieria,1
CA,al-wakrah,ingenieria,1
CA,alameda,ingenieria,3
CA,alameda,hvac,2
CA,alamo,ingenieria,1
CA,albany,ingenieria,2
CA,albuquerque,ingenieria,2
CA,alder-flats,ingenieria,2
CA,aldergrove,ingenieria,3
CA,aldersyde,ingenieria,2
CA,aldie,ingenieria,1
CA,aledo,ingenieria,1
CA,alexandra,ingenieria,1
CA,alexandria,ingenieria,3
CA,alfateh-manama,ingenieria,1
CA,alfred,ingenieria,1
CA,algonquin-highlands,ingenieria,1
CA,alhambra,ingenieria,1
CA,aliso-viejo,ingenieria,3
CA,alix,ingenieria,2
CA,alix,electricidad,2
CA,alkhobar,ingenieria,2
CA,alkhor,ingenieria,1
CA,allan,hvac,4
CA,allan,electricidad,4
CA,allen,ingenieria,4
CA,allenford,ingenieria,1
CA,allentown,ingenieria,3
CA,alliston,ingenieria,4
CA,allouez,ingenieria,1
CA,alma,ingenieria,1
CA,alma-qc,carpinteria,1
CA,almonte,ingenieria,2
CA,alpharetta,ingenieria,2
CA,alpine,ingenieria,1
CA,altamonte-springs,ingenieria,1
CA,altrincham,ingenieria,1
CA,amarillo,ingenieria,1
CA,ambler,ingenieria,1
CA,american-fork,electricidad,2
CA,american-fork,ingenieria,1
CA,ames,ingenieria,2
CA,amherst,medicina,71
CA,amherst,ingenieria,1
CA,amherstburg,ingenieria,9
CA,amherstview,ingenieria,2
CA,amman,ingenieria,3
CA,ammon,ingenieria,1
CA,amsterdam,ingenieria,2
CA,anacortes,ingenieria,1
CA,anaheim,ingenieria,1
CA,ancaster,ingenieria,31
CA,ancaster,medicina,3
CA,anchorage,ingenieria,8
CA,andover,ingenieria,3
CA,andrew,ingenieria,1
CA,anjou,ingenieria,5
CA,ankara,ingenieria,1
CA,anmore,ingenieria,3
CA,ann-arbor,ingenieria,6
CA,annan,ingenieria,1
CA,annapolis-royal,medicina,11
CA,annville,ingenieria,1
CA,antigonish,medicina,130
CA,antigonish,ingenieria,2
CA,antipolo,ingenieria,1
CA,anzac,ingenieria,1
CA,apex,ingenieria,2
CA,apollo-bay,ingenieria,1
CA,apple-valley,ingenieria,1
CA,applecross,ingenieria,1
CA,arborfield,electricidad,4
CA,arborfield,hvac,2
